,time_frame,crime_type
0,0:00 - 1:00,12141
1,1:00 - 2:00,6815
2,2:00 - 3:00,6601
3,3:00 - 4:00,4863
4,4:00 - 5:00,3702
5,5:00 - 6:00,2994
6,6:00 - 7:00,3156
7,7:00 - 8:00,3930
8,8:00 - 9:00,5914
9,9:00 - 10:00,5803
10,10:00 - 11:00,6843
11,11:00 - 12:00,6908
12,12:00 - 13:00,13957
13,13:00 - 14:00,7737
14,14:00 - 15:00,8382
15,15:00 - 16:00,8828
16,16:00 - 17:00,9152
17,17:00 - 18:00,10035
18,18:00 - 19:00,10900
19,19:00 - 20:00,9738
20,20:00 - 21:00,10011
21,21:00 - 22:00,9435
22,22:00 - 23:00,10062
23,23:00 - 0:00,8798
