zip_code,crime_type,family_violence,occ_date,time_occ,latitude,longitude
78610,ASSAULT W/INJURY-FAM/DATE VIOL,1,1,1,1,1
78610,CRED CARD ABUSE - OTHER,1,1,1,1,1
78610,DWI,1,1,1,1,1
78610,DWI 2ND,1,1,1,1,1
78610,EVADING / VEHICLE PURSUIT,1,1,1,1,1
78610,EXPLOSIVE ORDNANCE DISPOSAL,1,1,1,1,1
78610,FAMILY DISTURBANCE,1,1,1,1,1
78610,MAIL THEFT,1,1,1,1,1
78610,POSS CONTROLLED SUB/NARCOTIC,1,1,1,1,1
78610,SUSPICIOUS PERSON,1,1,1,1,1
78613,AGG ASLT STRANGLE/SUFFOCATE,3,3,3,3,3
78613,AGG ASSAULT,5,5,5,5,5
78613,AGG ASSAULT FAM/DATE VIOLENCE,2,2,2,2,2
78613,AGG ROBBERY/DEADLY WEAPON,1,1,1,1,1
78613,ASSAULT BY CONTACT,13,13,13,13,13
78613,ASSAULT BY CONTACT FAM/DATING,4,4,4,4,4
78613,ASSAULT BY THREAT,11,11,11,11,11
78613,ASSAULT W/INJURY-FAM/DATE VIOL,31,31,31,31,31
78613,ASSAULT WITH INJURY,12,12,12,12,12
78613,AUTO THEFT,15,15,15,15,15
78613,BREACH OF COMPUTER SECURITY,2,2,2,2,2
78613,BURGLARY NON RESIDENCE,20,20,20,20,20
78613,BURGLARY OF RESIDENCE,10,10,10,10,10
78613,BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,25,25,25,25,25
78613,BURGLARY OF VEH-NO SUSPECT/FU,33,33,33,33,33
78613,BURGLARY OF VEHICLE,61,61,61,61,61
78613,CHILD CUSTODY INTERFERE,5,5,5,5,5
78613,CONTROLLED SUB VIOL - OTHER,1,1,1,1,1
78613,CRASH/FAIL STOP AND RENDER AID,4,4,4,4,4
78613,CRED CARD ABUSE - OTHER,9,9,9,9,9
78613,CRIMINAL MISCHIEF,51,51,51,51,51
78613,CRIMINAL MISCHIEF-NO SUSPECT,5,5,5,5,5
78613,CRIMINAL TRESPASS,8,8,8,8,8
78613,CRUELTY TO ANIMALS,2,2,2,2,2
78613,DAMAGE CITY PROP,1,1,1,1,1
78613,DATING DISTURBANCE,10,10,10,10,10
78613,DEADLY CONDUCT FAM/DATE VIOL,1,1,1,1,1
78613,DEBIT CARD ABUSE,7,7,7,7,7
78613,DISTURBANCE - OTHER,19,19,19,19,19
78613,DOC DISCHARGE GUN - PUB ROAD,1,1,1,1,1
78613,DOC EXPOSURE,2,2,2,2,2
78613,DRIVING WHILE INTOX / FELONY,2,2,2,2,2
78613,DWI,10,10,10,10,10
78613,DWI  .15 BAC OR ABOVE,2,2,2,2,2
78613,DWI - CHILD PASSENGER,1,1,1,1,1
78613,DWI - DRUG RECOGNITION EXPERT,1,1,1,1,1
78613,DWI 2ND,2,2,2,2,2
78613,EVADING / VEHICLE PURSUIT,1,1,1,1,1
78613,EXPLOSIVE ORDNANCE DISPOSAL,1,1,1,1,1
