CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,ZIP
48001950100,Texas,Anderson County,0,0,0,0,0,75763
48001950100,Texas,Anderson County,0,0,0,0,0,75801
48001950100,Texas,Anderson County,0,0,0,0,0,75803
48001950401,Texas,Anderson County,0,0,0,0,0,75803
48001950401,Texas,Anderson County,0,0,0,0,0,75880
48001950402,Texas,Anderson County,0,1,1,0,0,75861
48001950402,Texas,Anderson County,0,1,1,0,0,75884
48001950402,Texas,Anderson County,0,1,1,0,0,75886
48001950500,Texas,Anderson County,1,1,1,1,1,75801
48001950500,Texas,Anderson County,1,1,1,1,1,75802
48001950500,Texas,Anderson County,1,1,1,1,1,75803
48001950500,Texas,Anderson County,1,1,1,1,1,75882
48001950600,Texas,Anderson County,1,1,1,1,1,75801
48001950600,Texas,Anderson County,1,1,1,1,1,75803
48001950700,Texas,Anderson County,1,0,1,0,0,75801
48001950800,Texas,Anderson County,1,0,1,0,0,75801
48001950901,Texas,Anderson County,0,0,0,0,0,75801
48001950901,Texas,Anderson County,0,0,0,0,0,75803
48001950901,Texas,Anderson County,0,0,0,0,0,75839
48001950901,Texas,Anderson County,0,0,0,0,0,75882
48001950902,Texas,Anderson County,0,0,0,0,1,75779
48001950902,Texas,Anderson County,0,0,0,0,1,75801
48001950902,Texas,Anderson County,0,0,0,0,1,75803
48001950902,Texas,Anderson County,0,0,0,0,1,75839
48001951000,Texas,Anderson County,0,0,0,0,0,75801
48001951000,Texas,Anderson County,0,0,0,0,0,75839
48001951000,Texas,Anderson County,0,0,0,0,0,75844
48001951100,Texas,Anderson County,0,0,0,0,0,75751
48001951100,Texas,Anderson County,0,0,0,0,0,75752
48001951100,Texas,Anderson County,0,0,0,0,0,75770
48001951100,Texas,Anderson County,0,0,0,0,0,75803
48001951100,Texas,Anderson County,0,0,0,0,0,75832
48001951100,Texas,Anderson County,0,0,0,0,0,75853
48001951100,Texas,Anderson County,0,0,0,0,0,75861
48003950100,Texas,Andrews County,0,0,0,0,0,79714
48003950200,Texas,Andrews County,1,0,0,0,0,79714
48003950300,Texas,Andrews County,1,0,0,0,0,79714
48003950400,Texas,Andrews County,0,0,0,0,0,79714
48005000101,Texas,Angelina County,0,0,0,0,0,75901
48005000101,Texas,Angelina County,0,0,0,0,0,75904
48005000101,Texas,Angelina County,0,0,0,0,0,75969
48005000102,Texas,Angelina County,1,0,0,0,0,75904
48005000102,Texas,Angelina County,1,0,0,0,0,75969
48005000200,Texas,Angelina County,0,0,0,0,0,75901
48005000200,Texas,Angelina County,0,0,0,0,0,75904
48005000301,Texas,Angelina County,0,0,0,0,0,75904
48005000301,Texas,Angelina County,0,0,0,0,0,75969
48005000302,Texas,Angelina County,0,0,0,0,0,75901
48005000302,Texas,Angelina County,0,0,0,0,0,75904
48005000302,Texas,Angelina County,0,0,0,0,0,75941
48005000400,Texas,Angelina County,1,1,1,1,1,75903
48005000400,Texas,Angelina County,1,1,1,1,1,75904
48005000500,Texas,Angelina County,1,1,1,1,1,75901
48005000500,Texas,Angelina County,1,1,1,1,1,75904
48005000600,Texas,Angelina County,1,1,1,1,0,75901
48005000700,Texas,Angelina County,1,0,1,0,0,75901
48005000700,Texas,Angelina County,1,0,1,0,0,75904
48005000800,Texas,Angelina County,1,0,0,0,0,75901
48005000800,Texas,Angelina County,1,0,0,0,0,75904
48005000901,Texas,Angelina County,1,0,0,0,0,75901
48005000901,Texas,Angelina County,1,0,0,0,0,75902
48005000901,Texas,Angelina County,1,0,0,0,0,75904
48005000901,Texas,Angelina County,1,0,0,0,0,75915
48005000902,Texas,Angelina County,1,0,0,0,0,75901
48005000902,Texas,Angelina County,1,0,0,0,0,75904
48005001001,Texas,Angelina County,0,0,0,0,1,75901
48005001001,Texas,Angelina County,0,0,0,0,1,75904
48005001001,Texas,Angelina County,0,0,0,0,1,75941
48005001002,Texas,Angelina County,0,0,0,0,0,75901
48005001002,Texas,Angelina County,0,0,0,0,0,75941
48005001100,Texas,Angelina County,0,0,0,0,0,75901
48005001100,Texas,Angelina County,0,0,0,0,0,75949
48005001200,Texas,Angelina County,0,1,1,0,0,75949
48005001200,Texas,Angelina County,0,1,1,0,0,75951
48005001200,Texas,Angelina County,0,1,1,0,0,75980
48005001300,Texas,Angelina County,0,0,0,0,0,75901
48005001300,Texas,Angelina County,0,0,0,0,0,75949
48005001300,Texas,Angelina County,0,0,0,0,0,75980
48007950100,Texas,Aransas County,0,0,0,0,0,78358
48007950100,Texas,Aransas County,0,0,0,0,0,78382
48007950200,Texas,Aransas County,1,0,0,0,0,78382
48007950300,Texas,Aransas County,1,1,1,1,0,78381
48007950300,Texas,Aransas County,1,1,1,1,0,78382
48007950400,Texas,Aransas County,1,1,1,1,1,78382
48007950500,Texas,Aransas County,0,0,0,0,0,78336
48007950500,Texas,Aransas County,0,0,0,0,0,78382
48007950500,Texas,Aransas County,0,0,0,0,0,78390
48009020100,Texas,Archer County,0,0,0,0,0,76302
48009020100,Texas,Archer County,0,0,0,0,0,76308
48009020100,Texas,Archer County,0,0,0,0,0,76310
48009020100,Texas,Archer County,0,0,0,0,0,76366
48009020200,Texas,Archer County,0,0,0,0,0,76310
48009020200,Texas,Archer County,0,0,0,0,0,76360
48009020200,Texas,Archer County,0,0,0,0,0,76366
48009020200,Texas,Archer County,0,0,0,0,0,76370
48009020200,Texas,Archer County,0,0,0,0,0,76374
48009020300,Texas,Archer County,0,0,0,0,0,76351
48009020300,Texas,Archer County,0,0,0,0,0,76374
48009020300,Texas,Archer County,0,0,0,0,0,76379
48009020300,Texas,Archer County,0,0,0,0,0,76389
48011950100,Texas,Armstrong County,0,0,0,0,0,79019
48011950100,Texas,Armstrong County,0,0,0,0,0,79039
48011950100,Texas,Armstrong County,0,0,0,0,0,79042
48011950100,Texas,Armstrong County,0,0,0,0,0,79094
48011950100,Texas,Armstrong County,0,0,0,0,0,79118
48011950100,Texas,Armstrong County,0,0,0,0,0,79226
48013960100,Texas,Atascosa County,0,0,0,0,0,78008
48013960100,Texas,Atascosa County,0,0,0,0,0,78050
48013960100,Texas,Atascosa County,0,0,0,0,0,78064
48013960100,Texas,Atascosa County,0,0,0,0,0,78113
48013960100,Texas,Atascosa County,0,0,0,0,0,78114
48013960100,Texas,Atascosa County,0,0,0,0,0,78118
48013960100,Texas,Atascosa County,0,0,0,0,0,78264
48013960201,Texas,Atascosa County,0,0,0,0,0,78002
48013960201,Texas,Atascosa County,0,0,0,0,0,78005
48013960201,Texas,Atascosa County,0,0,0,0,0,78052
48013960201,Texas,Atascosa County,0,0,0,0,0,78065
48013960201,Texas,Atascosa County,0,0,0,0,0,78069
48013960202,Texas,Atascosa County,0,0,0,0,1,78005
48013960202,Texas,Atascosa County,0,0,0,0,1,78011
48013960202,Texas,Atascosa County,0,0,0,0,1,78026
48013960202,Texas,Atascosa County,0,0,0,0,1,78064
48013960202,Texas,Atascosa County,0,0,0,0,1,78065
48013960202,Texas,Atascosa County,0,0,0,0,1,78069
48013960202,Texas,Atascosa County,0,0,0,0,1,78073
48013960300,Texas,Atascosa County,1,0,1,0,0,78012
48013960300,Texas,Atascosa County,1,0,1,0,0,78065
48013960401,Texas,Atascosa County,0,0,0,0,0,78064
