dt,dt_iso,temp,wind_speed,weather_main,pressure,humidity,time_occ,occ_date
1577836800,2020-01-01 00:00:00 +0000 UTC,54.63,1.01,Clear,1021,35,00:00:00,01/01/2020
1577840400,2020-01-01 01:00:00 +0000 UTC,53.1,0.0,Clouds,1021,40,01:00:00,01/01/2020
1577844000,2020-01-01 02:00:00 +0000 UTC,53.22,0.0,Clouds,1021,39,02:00:00,01/01/2020
1577847600,2020-01-01 03:00:00 +0000 UTC,53.08,1.01,Clouds,1021,40,03:00:00,01/01/2020
1577851200,2020-01-01 04:00:00 +0000 UTC,52.86,4.7,Clouds,1021,41,04:00:00,01/01/2020
1577854800,2020-01-01 05:00:00 +0000 UTC,52.75,1.01,Clouds,1021,43,05:00:00,01/01/2020
1577858400,2020-01-01 06:00:00 +0000 UTC,52.07,1.01,Clouds,1020,43,06:00:00,01/01/2020
1577862000,2020-01-01 07:00:00 +0000 UTC,51.93,1.99,Clouds,1020,44,07:00:00,01/01/2020
1577865600,2020-01-01 08:00:00 +0000 UTC,51.76,1.01,Clouds,1020,44,08:00:00,01/01/2020
1577869200,2020-01-01 09:00:00 +0000 UTC,51.44,1.01,Clouds,1019,47,09:00:00,01/01/2020
1577872800,2020-01-01 10:00:00 +0000 UTC,51.17,0.0,Clouds,1018,49,10:00:00,01/01/2020
1577876400,2020-01-01 11:00:00 +0000 UTC,50.97,0.0,Rain,1018,52,11:00:00,01/01/2020
1577880000,2020-01-01 12:00:00 +0000 UTC,50.92,0.0,Clouds,1018,53,12:00:00,01/01/2020
1577883600,2020-01-01 13:00:00 +0000 UTC,51.06,0.0,Rain,1018,54,13:00:00,01/01/2020
1577887200,2020-01-01 14:00:00 +0000 UTC,51.3,1.99,Clouds,1017,50,14:00:00,01/01/2020
1577890800,2020-01-01 15:00:00 +0000 UTC,52.07,0.0,Clouds,1017,47,15:00:00,01/01/2020
1577894400,2020-01-01 16:00:00 +0000 UTC,52.72,1.01,Clouds,1018,48,16:00:00,01/01/2020
1577898000,2020-01-01 17:00:00 +0000 UTC,54.39,4.0,Clouds,1017,44,17:00:00,01/01/2020
1577901600,2020-01-01 18:00:00 +0000 UTC,57.0,5.99,Clouds,1015,46,18:00:00,01/01/2020
